episode,reward,length,loss,entropy_param
1,-191.1333,155,nan,nan
2,-188.309238,241,nan,nan
3,-209.198458,185,nan,nan
4,-172.14332,122,nan,nan
5,-165.458126,106,nan,nan
6,-153.290852,134,nan,nan
7,-169.174494,88,nan,nan
8,-169.682911,229,nan,nan
9,-240.187927,220,nan,nan
10,-109.495221,104,nan,nan
11,-166.650635,119,nan,nan
12,-161.957594,174,nan,nan
13,-253.44234,241,nan,nan
14,-189.721638,273,nan,nan
15,-142.003594,73,nan,nan
16,-143.776146,209,nan,nan
17,-245.201959,228,nan,nan
18,-105.075433,127,nan,nan
19,-92.455072,48,nan,nan
20,-120.611529,97,nan,nan
21,-121.776475,56,nan,nan
22,-102.11848,52,nan,nan
23,-183.086425,137,nan,nan
24,-182.828973,186,nan,nan
25,-117.550851,86,nan,nan
26,-183.658072,127,nan,nan
27,-161.864943,157,nan,nan
28,-95.705424,69,nan,nan
29,-114.021269,106,-0.0026045783510198818,-2.8499339766800404
30,-142.036772,63,-0.0026045783510198818,-2.8499339766800404
31,114.714224,45,-0.0026045783510198818,-2.8499339766800404
32,-58.791019,130,-0.0026045783510198818,-2.8499339766800404
33,-278.459963,201,-0.0026045783510198818,-2.8499339766800404
34,-86.273964,115,-0.0026045783510198818,-2.8499339766800404
35,-89.131368,128,-0.0026045783510198818,-2.8499339766800404
36,-184.308598,305,-0.0026045783510198818,-2.8499339766800404
37,-80.185545,94,-0.0026045783510198818,-2.8499339766800404
38,-166.088743,102,-0.0026045783510198818,-2.8499339766800404
39,-173.109786,189,-0.0026045783510198818,-2.8499339766800404
40,-135.043093,88,-0.0026045783510198818,-2.8499339766800404
41,-170.086839,108,-0.0026045783510198818,-2.8499339766800404
42,-245.060999,271,-0.0026045783510198818,-2.8499339766800404
43,-105.518324,138,-0.0026045783510198818,-2.8499339766800404
44,-152.963282,217,-0.0026045783510198818,-2.8499339766800404
45,-176.900702,111,-0.0026045783510198818,-2.8499339766800404
46,-139.679883,88,-0.0026045783510198818,-2.8499339766800404
47,-165.568593,128,-0.0026045783510198818,-2.8499339766800404
48,-133.693942,121,-0.0026045783510198818,-2.8499339766800404
49,-161.851611,89,-0.0026045783510198818,-2.8499339766800404
50,-130.279112,90,-0.0026045783510198818,-2.8499339766800404
51,-149.526144,151,-0.0026045783510198818,-2.8499339766800404
52,-172.203395,102,-0.0026045783510198818,-2.8499339766800404
53,-129.478886,55,-0.0026045783510198818,-2.8499339766800404
54,-183.926838,139,-0.0026045783510198818,-2.8499339766800404
55,-87.837627,133,-0.0026045783510198818,-2.8499339766800404
56,-188.569618,195,-0.0026045783510198818,-2.8499339766800404
57,-201.690919,148,-0.0026045783510198818,-2.8499339766800404
58,-161.336457,187,-0.0026045783510198818,-2.8499339766800404
59,-133.686293,85,-0.0026045783510198818,-2.8499339766800404
60,-94.829221,73,-0.0024193645171180834,-2.8637745786458253
61,-189.09747,147,-0.0024193645171180834,-2.8637745786458253
62,-142.267802,78,-0.0024193645171180834,-2.8637745786458253
63,-96.171207,108,-0.0024193645171180834,-2.8637745786458253
64,-188.562116,137,-0.0024193645171180834,-2.8637745786458253
65,114.91241,63,-0.0024193645171180834,-2.8637745786458253
66,-109.272527,115,-0.0024193645171180834,-2.8637745786458253
67,-134.006755,74,-0.0024193645171180834,-2.8637745786458253
68,-168.586422,149,-0.0024193645171180834,-2.8637745786458253
69,-221.644295,370,-0.0024193645171180834,-2.8637745786458253
70,-114.471245,133,-0.0024193645171180834,-2.8637745786458253
71,-104.994809,80,-0.0024193645171180834,-2.8637745786458253
72,-158.538248,96,-0.0024193645171180834,-2.8637745786458253
73,-84.293818,81,-0.0024193645171180834,-2.8637745786458253
74,-473.955236,132,nan,nan
75,-159.650699,97,nan,nan
76,119.983172,74,nan,nan
77,-114.438073,321,nan,nan
78,-204.085876,173,nan,nan
79,-200.618926,190,nan,nan
80,-205.561929,348,nan,nan
81,-82.917078,79,nan,nan
82,-247.619967,303,nan,nan
83,-114.867228,189,nan,nan
84,-166.89038,128,nan,nan
85,-89.038004,102,nan,nan
86,-157.322821,148,nan,nan
87,-151.353348,88,nan,nan
88,-161.439461,158,-0.002631458020914579,-2.8656190995126964
89,-128.385,154,-0.002631458020914579,-2.8656190995126964
90,-106.668132,100,-0.002631458020914579,-2.8656190995126964
91,-193.280398,287,-0.002631458020914579,-2.8656190995126964
92,-130.830648,287,-0.002631458020914579,-2.8656190995126964
93,-204.478723,336,-0.002631458020914579,-2.8656190995126964
94,-112.260765,150,-0.002631458020914579,-2.8656190995126964
95,-138.345388,47,-0.002631458020914579,-2.8656190995126964
96,-138.924333,179,-0.002631458020914579,-2.8656190995126964
97,-144.970116,433,-0.002631458020914579,-2.8656190995126964
98,-110.722563,166,-0.002631458020914579,-2.8656190995126964
99,-204.965771,160,-0.002631458020914579,-2.8656190995126964
100,-95.616118,107,-0.002631458020914579,-2.8656190995126964
101,-120.741695,68,-0.002631458020914579,-2.8656190995126964
102,-184.804853,104,-0.002631458020914579,-2.8656190995126964
103,-120.601856,122,-0.002631458020914579,-2.8656190995126964
104,-175.303091,225,-0.002631458020914579,-2.8656190995126964
105,-161.508698,124,-0.002631458020914579,-2.8656190995126964
106,-106.225701,49,-0.002631458020914579,-2.8656190995126964
107,-74.677107,124,-0.002631458020914579,-2.8656190995126964
108,-114.754921,138,-0.002631458020914579,-2.8656190995126964
109,-86.545234,117,-0.002631458020914579,-2.8656190995126964
110,-205.989522,352,-0.002631458020914579,-2.8656190995126964
111,-127.325681,144,-0.002631458020914579,-2.8656190995126964
112,-193.135757,230,-0.005953493676133803,-2.866466959938407
113,-115.178872,68,-0.005953493676133803,-2.866466959938407
114,-127.709993,154,-0.005953493676133803,-2.866466959938407
115,-171.722197,334,-0.005953493676133803,-2.866466959938407
116,-172.891827,366,-0.005953493676133803,-2.866466959938407
117,-94.599608,92,-0.005953493676133803,-2.866466959938407
118,-107.50832,87,-0.005953493676133803,-2.866466959938407
119,-179.073116,208,-0.005953493676133803,-2.866466959938407
120,121.129909,71,-0.005953493676133803,-2.866466959938407
121,-199.133589,179,-0.005953493676133803,-2.866466959938407
122,-83.142908,169,-0.005953493676133803,-2.866466959938407
123,-154.237139,85,-0.005953493676133803,-2.866466959938407
124,-132.853408,185,-0.005953493676133803,-2.866466959938407
125,-76.169044,118,-0.005953493676133803,-2.866466959938407
126,-138.119185,94,-0.005953493676133803,-2.866466959938407
127,-179.371373,136,-0.005953493676133803,-2.866466959938407
128,-160.632498,108,-0.005953493676133803,-2.866466959938407
129,-126.217282,138,-0.005953493676133803,-2.866466959938407
130,-117.81535,120,-0.005953493676133803,-2.866466959938407
131,-126.923493,183,-0.005953493676133803,-2.866466959938407
132,117.287937,119,-0.005953493676133803,-2.866466959938407
133,-104.706897,137,-0.005953493676133803,-2.866466959938407
134,-132.517286,146,-0.005953493676133803,-2.866466959938407
135,-311.584711,102,nan,nan
136,-76.398094,123,nan,nan
137,-138.552841,89,nan,nan
138,113.862556,54,nan,nan
139,-154.419325,292,-0.0029673886976524953,-2.8727474704384806
140,-199.823725,200,-0.0029673886976524953,-2.8727474704384806
141,-145.807377,150,-0.0029673886976524953,-2.8727474704384806
142,-97.935897,70,-0.0029673886976524953,-2.8727474704384806
143,-94.478856,100,-0.0029673886976524953,-2.8727474704384806
144,-116.310075,122,-0.0029673886976524953,-2.8727474704384806
145,-107.728651,111,-0.0029673886976524953,-2.8727474704384806
146,-164.554672,170,-0.0029673886976524953,-2.8727474704384806
147,-82.410627,136,-0.0029673886976524953,-2.8727474704384806
148,-200.220047,197,-0.0029673886976524953,-2.8727474704384806
149,111.623052,52,-0.0029673886976524953,-2.8727474704384806
150,151.868488,184,-0.0029673886976524953,-2.8727474704384806
151,-133.0707,167,-0.0029673886976524953,-2.8727474704384806
152,-133.334758,237,-0.0029673886976524953,-2.8727474704384806
153,-125.063952,103,-0.0029673886976524953,-2.8727474704384806
154,-142.696152,158,-0.0029673886976524953,-2.8727474704384806
155,-98.493714,187,-0.0029673886976524953,-2.8727474704384806
156,-215.718603,462,-0.0029673886976524953,-2.8727474704384806
157,-121.59494,219,-0.0029673886976524953,-2.8727474704384806
158,-111.992706,80,-0.0029673886976524953,-2.8727474704384806
159,-83.446044,146,-0.0029673886976524953,-2.8727474704384806
160,-233.705685,411,-0.0029673886976524953,-2.8727474704384806
161,-148.145577,106,-0.0029673886976524953,-2.8727474704384806
162,-120.788654,274,-0.004527603072710917,-2.8715318527072666
163,-110.294876,600,-0.004527603072710917,-2.8715318527072666
164,113.625882,80,-0.004527603072710917,-2.8715318527072666
165,-95.894447,150,-0.004527603072710917,-2.8715318527072666
166,-96.315114,112,-0.004527603072710917,-2.8715318527072666
167,-120.791597,81,-0.004527603072710917,-2.8715318527072666
168,-168.667752,425,-0.004527603072710917,-2.8715318527072666
169,-104.913068,134,-0.004527603072710917,-2.8715318527072666
170,118.804947,62,-0.004527603072710917,-2.8715318527072666
171,-113.175088,123,-0.004527603072710917,-2.8715318527072666
172,-126.731037,142,-0.004527603072710917,-2.8715318527072666
173,-131.561913,94,-0.004527603072710917,-2.8715318527072666
174,-200.729029,142,-0.004527603072710917,-2.8715318527072666
