#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
-191.1333,155,18.421155
-188.309238,241,44.171515
-209.198458,185,64.000655
-172.14332,122,77.362797
-165.458126,106,89.03317
-153.290852,134,103.60488
-169.174494,88,113.419309
-169.682911,229,137.814754
-240.187927,220,161.247759
-109.495221,104,172.717059
-166.650635,119,185.70665
-161.957594,174,204.544983
-253.44234,241,230.226568
-189.721638,273,259.341789
-142.003594,73,267.666683
-143.776146,209,290.135271
-245.201959,228,314.536184
-105.075433,127,328.460221
-92.455072,48,334.128694
-120.611529,97,344.907393
-121.776475,56,351.419296
-102.11848,52,357.51679
-183.086425,137,372.461892
-182.828973,186,392.529596
-117.550851,86,402.179748
-183.658072,127,416.102493
-161.864943,157,434.553554
-95.705424,69,443.1365
-114.021269,106,457.185156
-142.036772,63,465.043933
114.714224,45,470.827913
-58.791019,130,486.247557
-278.459963,201,509.629228
-86.273964,115,523.213084
-89.131368,128,538.314029
-184.308598,305,573.369226
-80.185545,94,584.584376
-166.088743,102,596.845186
-173.109786,189,618.955162
-135.043093,88,629.528349
-170.086839,108,642.365084
-245.060999,271,673.637567
-105.518324,138,689.842386
-152.963282,217,714.974943
-176.900702,111,728.28621
-139.679883,88,738.931134
-165.568593,128,754.018956
-133.693942,121,768.541484
-161.851611,89,779.318698
-130.279112,90,790.099225
-149.526144,151,807.889563
-172.203395,102,820.169458
-129.478886,55,827.117436
-183.926838,139,843.440571
-87.837627,133,859.057055
-188.569618,195,881.797889
-201.690919,148,899.196672
-161.336457,187,920.996378
-133.686293,85,931.327731
-94.829221,73,941.701879
-189.09747,147,958.976056
-142.267802,78,968.435755
-96.171207,108,981.240615
-188.562116,137,997.338436
114.91241,63,1005.107628
-109.272527,115,1018.728164
-134.006755,74,1027.723991
-168.586422,149,1045.231086
-221.644295,370,1087.670446
-114.471245,133,1103.380877
-104.994809,80,1113.057698
-158.538248,96,1124.518719
-84.293818,81,1134.308637
-473.955236,132,1407.750003
-159.650699,97,1419.402951
119.983172,74,1428.481863
-114.438073,321,1465.239266
-204.085876,173,1485.257962
-200.618926,190,1507.289846
-205.561929,348,1547.13614
-82.917078,79,1556.646664
-247.619967,303,1591.365642
-114.867228,189,1613.318024
-166.89038,128,1628.414388
-89.038004,102,1640.549104
-157.322821,148,1657.816428
-151.353348,88,1668.439838
-161.439461,158,1688.286452
-128.385,154,1706.251631
-106.668132,100,1718.127806
-193.280398,287,1751.00497
-130.830648,287,1784.135377
-204.478723,336,1822.579026
-112.260765,150,1840.142591
-138.345388,47,1846.143961
-138.924333,179,1866.926214
-144.970116,433,1916.090946
-110.722563,166,1935.502762
-204.965771,160,1954.235144
-95.616118,107,1966.941502
-120.741695,68,1975.292624
-184.804853,104,1987.758582
-120.601856,122,2002.050878
-175.303091,225,2027.937491
-161.508698,124,2042.641898
-106.225701,49,2048.844739
-74.677107,124,2063.444746
-114.754921,138,2079.489056
-86.545234,117,2093.258261
-205.989522,352,2133.216534
-127.325681,144,2150.072363
-193.135757,230,2177.919448
-115.178872,68,2186.259611
-127.709993,154,2204.213615
-171.722197,334,2242.653469
-172.891827,366,2284.398041
-94.599608,92,2295.466189
-107.50832,87,2305.943657
-179.073116,208,2329.799997
121.129909,71,2338.464408
-199.133589,179,2359.194103
-83.142908,169,2378.78534
-154.237139,85,2389.017009
-132.853408,185,2410.401144
-76.169044,118,2424.31913
-138.119185,94,2435.573406
-179.371373,136,2451.470803
-160.632498,108,2464.271992
-126.217282,138,2480.434182
-117.81535,120,2494.5031
-126.923493,183,2515.677672
117.287937,119,2529.701763
-104.706897,137,2545.821186
-132.517286,146,2562.777544
-311.584711,102,2926.378528
-76.398094,123,2940.836071
-138.552841,89,2951.437897
113.862556,54,2958.135743
-154.419325,292,2992.945424
-199.823725,200,3016.001023
-145.807377,150,3033.391954
-97.935897,70,3041.897472
-94.478856,100,3053.809057
-116.310075,122,3068.117455
-107.728651,111,3081.203231
-164.554672,170,3100.906341
-82.410627,136,3116.865388
-200.220047,197,3139.76227
111.623052,52,3146.272241
151.868488,184,3167.672104
-133.0707,167,3187.2365
-133.334758,237,3214.480871
-125.063952,103,3226.658245
-142.696152,158,3245.050104
-98.493714,187,3266.700083
-215.718603,462,3319.272108
-121.59494,219,3344.550218
-111.992706,80,3354.182356
-83.446044,146,3371.294073
-233.705685,411,3418.094267
-148.145577,106,3430.651082
-120.788654,274,3463.531557
-110.294876,600,3531.564362
113.625882,80,3541.169293
-95.894447,150,3558.605146
-96.315114,112,3571.881033
