#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
-190.990573,128,16.789776
-98.364596,78,25.72454
-273.972605,233,50.939823
-124.25349,84,60.446828
-199.793713,159,77.787491
-193.002748,92,88.054458
-133.669347,55,94.474147
-132.357615,111,106.803126
-144.34925,79,116.278363
-159.513662,91,126.495282
-79.340605,138,141.594667
-223.387213,336,177.394833
-119.669905,120,190.661275
-102.124967,77,199.444037
-126.523488,164,217.261323
-178.037278,249,243.980927
-177.450171,600,307.669709
-142.232254,414,351.839656
-228.719824,231,376.808514
-126.765033,159,394.190816
-286.888929,254,421.538307
-208.910526,249,448.383787
-118.733553,62,455.597114
-151.589027,191,476.357686
-364.714959,553,535.114509
-182.050882,93,545.587409
-170.6744,123,559.20717
-150.39616,147,575.34714
-111.789543,174,594.36824
-147.555819,238,620.069927
-211.923081,172,638.841487
-132.671376,95,649.510403
-106.759567,158,666.810618
-143.457504,94,677.384855
-155.946401,160,694.873618
119.662474,53,701.133299
-150.13665,110,713.395608
-141.863955,156,730.471767
-90.926704,139,745.765346
-114.087558,113,758.347272
-136.19153,368,797.726005
-155.002392,87,807.554399
-90.681615,101,818.857061
-102.911614,81,828.070376
-109.118128,169,846.518985
-211.138091,160,864.004391
-150.533921,128,878.132066
-139.976687,138,893.315904
-323.192768,323,927.917057
-114.925456,50,933.885335
-97.370289,101,945.18096
-148.8294,186,965.406552
-148.573958,134,980.228661
-175.457915,190,1000.930568
-235.912536,274,1030.376198
-117.057557,96,1041.16636
-359.065374,397,1083.271338
-388.751949,86,1639.310381
-101.1,1,1640.14585
-263.785016,487,1691.575325
-115.010765,89,1701.659459
-201.894342,127,1717.441364
-210.892709,277,1747.047462
-174.863099,136,1761.937618
-117.828017,233,1786.974571
-231.230141,315,1820.499633
-103.5495,75,1829.051631
-114.156301,181,1848.657821
-85.114475,86,1858.368809
-99.090916,77,1867.126442
136.225903,87,1876.903931
-135.257867,177,1896.097771
-98.807308,165,1914.036376
121.124949,39,1918.836817
118.421185,74,1927.353622
-133.003723,154,1944.244842
-244.208231,434,1990.486574
-115.192099,104,2002.044745
-213.695117,482,2053.215756
-108.689525,117,2066.213005
-218.579527,453,2114.384975
-155.49376,131,2128.805396
-252.331158,409,2172.283779
-166.766431,223,2196.341782
-126.251601,600,2259.904716
121.583393,87,2269.71371
-93.851552,58,2276.576123
-181.743796,340,2312.952613
115.930121,244,2339.255173
-319.042257,273,2368.544645
116.756756,70,2376.598058
-142.809009,198,2398.010728
111.698495,50,2403.974877
-82.085785,95,2414.636393
116.115344,35,2419.00291
-112.52046,129,2433.185631
-390.931908,600,2496.755247
113.06599,147,2512.880238
-96.999392,80,2521.983219
-106.139313,86,2531.686224
-95.55476,64,2539.077415
-96.332476,116,2551.903022
-320.785512,432,2598.125754
-83.014314,58,2604.90505
-107.408711,93,2615.386916
-340.350984,600,2678.989369
141.662424,66,2686.626678
-87.906134,50,2692.618567
133.572974,131,2707.101538
-96.326511,102,2718.543933
117.034735,30,2722.414871
-463.40592,33,3074.301894
-101.1,1,3075.132115
-94.016256,90,3085.24771
-110.947888,97,3096.093898
-53.419439,600,3159.577709
-83.102011,66,3167.187292
-115.07908,77,3175.974278
-98.57894,66,3183.636674
134.367259,99,3194.709731
-104.186539,70,3202.763487
67.667219,169,3221.168735
139.377614,75,3229.733396
-144.634799,392,3271.524796
-88.279752,44,3276.825487
-138.942883,168,3295.09008
-110.197796,122,3308.504638
-147.638023,284,3338.939487
-87.663667,52,3345.076676
125.941751,51,3351.107318
126.191531,61,3358.183167
-157.701795,317,3392.05051
-134.162453,203,3414.040112
-78.864435,83,3423.474998
166.539516,134,3438.23265
-92.63318,85,3447.854773
135.08551,64,3455.280485
115.61915,74,3463.707182
-266.540435,565,3523.571113
-131.495859,233,3548.662701
-164.049611,149,3565.03023
-101.467183,166,3583.08536
116.596066,34,3587.439189
-124.868474,123,3601.0126
113.155099,25,3604.321613
-71.650988,116,3617.167548
-191.546579,338,3653.169033
-65.782427,103,3664.652889
-59.813402,68,3672.479247
-115.702462,143,3688.231545
124.486185,78,3697.089628
119.362637,48,3702.901221
-104.291444,91,3713.142916
-108.588872,93,3723.611994
-85.669179,104,3735.211829
131.724044,55,3741.705478
-150.450348,188,3762.064832
-81.35277,52,3768.221504
-79.824933,46,3773.74839
-175.559954,396,3815.916251
-264.311498,600,3879.330225
-172.000285,170,3897.844113
114.700889,40,3902.744944
-77.174881,85,3912.346358
135.688605,78,3922.989808
-106.798908,78,3931.824668
118.519405,25,3935.151783
-75.585734,81,3946.118637
112.343434,41,3951.12447
-93.940955,78,3960.022114
-107.685484,72,3968.261223
76.653263,406,4011.452765
-27.137498,600,4074.928307
131.95665,59,4081.816736
-87.185531,360,4120.163979
-100.447851,101,4131.44282
134.430144,47,4137.054708
-73.523155,105,4148.737311
-554.364671,216,4421.445073
-307.877153,600,4485.617954
120.44256,83,4495.083061
-408.519244,457,4544.087827
120.0575,245,4570.646947
121.933767,47,4576.317212
-62.293535,600,4642.213602
90.726264,235,4667.73314
137.932116,86,4677.533969
-84.665798,42,4682.681451
-112.595172,67,4690.472167
-99.735075,101,4701.828618
